New Moon Date Time (IST)
1923/01/17 08:10 +05:30
1923/02/16 00:36 +05:30
1923/03/17 18:21 +05:30
1923/04/16 11:58 +05:30
1923/05/16 04:08 +05:30
1923/06/14 18:11 +05:30
1923/07/14 06:14 +05:30
1923/08/12 16:46 +05:30
1923/09/11 02:22 +05:30
1923/10/10 11:35 +05:30
1923/11/08 20:56 +05:30
1923/12/08 07:00 +05:30
1924/01/06 18:17 +05:30
1924/02/05 07:08 +05:30
1924/03/05 21:27 +05:30
1924/04/04 12:47 +05:30
1924/05/04 04:29 +05:30
1924/06/02 20:03 +05:30
1924/07/02 11:04 +05:30
1924/08/01 01:11 +05:30
1924/08/30 14:06 +05:30
1924/09/29 01:45 +05:30
1924/10/28 12:26 +05:30
1924/11/26 22:45 +05:30
1924/12/26 09:15 +05:30
1925/01/24 20:14 +05:30
1925/02/23 07:41 +05:30
1925/03/24 19:32 +05:30
1925/04/23 07:57 +05:30
1925/05/22 21:18 +05:30
1925/06/21 11:46 +05:30
1925/07/21 03:09 +05:30
1925/08/19 18:44 +05:30
1925/09/18 09:42 +05:30
1925/10/17 23:35 +05:30
1925/11/16 12:27 +05:30
1925/12/16 00:34 +05:30
1926/01/14 12:04 +05:30
1926/02/12 22:50 +05:30
1926/03/14 08:49 +05:30
1926/04/12 18:26 +05:30
1926/05/12 04:25 +05:30
1926/06/10 15:38 +05:30
1926/07/10 04:36 +05:30
1926/08/08 19:18 +05:30
1926/09/07 11:14 +05:30
1926/10/07 03:43 +05:30
1926/11/05 20:04 +05:30
1926/12/05 11:41 +05:30
1927/01/04 01:57 +05:30
1927/02/02 14:24 +05:30
1927/03/04 00:54 +05:30
1927/04/02 09:54 +05:30
1927/05/01 18:09 +05:30
1927/05/31 02:35 +05:30
1927/06/29 12:01 +05:30
1927/07/28 23:06 +05:30
1927/08/27 12:15 +05:30
1927/09/26 03:40 +05:30
1927/10/25 21:07 +05:30
1927/11/24 15:39 +05:30
1927/12/24 09:43 +05:30
1928/01/23 01:48 +05:30
1928/02/21 15:10 +05:30
1928/03/22 01:59 +05:30
1928/04/20 10:54 +05:30
1928/05/19 18:43 +05:30
1928/06/18 02:11 +05:30
1928/07/17 10:05 +05:30
1928/08/15 19:18 +05:30
1928/09/14 06:50 +05:30
1928/10/13 21:26 +05:30
1928/11/12 15:05 +05:30
1928/12/12 10:35 +05:30
1929/01/11 05:58 +05:30
1929/02/09 23:25 +05:30
1929/03/11 14:06 +05:30
1929/04/10 02:02 +05:30
1929/05/09 11:37 +05:30
1929/06/07 19:26 +05:30
1929/07/07 02:16 +05:30
1929/08/05 09:09 +05:30
1929/09/03 17:17 +05:30
1929/10/03 03:49 +05:30
1929/11/01 17:30 +05:30
1929/12/01 10:18 +05:30
1929/12/31 05:11 +05:30
1930/01/30 00:37 +05:30
1930/02/28 19:02 +05:30
1930/03/30 11:16 +05:30
1930/04/29 00:38 +05:30
1930/05/28 11:06 +05:30
1930/06/26 19:16 +05:30
1930/07/26 02:11 +05:30
1930/08/24 09:06 +05:30
1930/09/22 17:11 +05:30
1930/10/22 03:17 +05:30
1930/11/20 15:51 +05:30
1930/12/20 06:53 +05:30
1931/01/19 00:05 +05:30
1931/02/17 18:40 +05:30
1931/03/19 13:20 +05:30
1931/04/18 06:29 +05:30
1931/05/17 20:57 +05:30
1931/06/16 08:31 +05:30
1931/07/15 17:49 +05:30
1931/08/14 01:56 +05:30
1931/09/12 09:56 +05:30
1931/10/11 18:35 +05:30
1931/11/10 04:25 +05:30
1931/12/09 15:45 +05:30
1932/01/08 04:58 +05:30
1932/02/06 20:15 +05:30
1932/03/07 13:14 +05:30
1932/04/06 06:50 +05:30
1932/05/05 23:41 +05:30
1932/06/04 14:45 +05:30
1932/07/04 03:49 +05:30
1932/08/02 15:11 +05:30
1932/09/01 01:24 +05:30
1932/09/30 10:59 +05:30
1932/10/29 20:25 +05:30
1932/11/28 06:13 +05:30
1932/12/27 16:52 +05:30
1933/01/26 04:49 +05:30
1933/02/24 18:13 +05:30
1933/03/26 08:50 +05:30
1933/04/25 00:08 +05:30
1933/05/24 15:36 +05:30
1933/06/23 06:52 +05:30
1933/07/22 21:33 +05:30
1933/08/21 11:17 +05:30
1933/09/19 23:50 +05:30
1933/10/19 11:14 +05:30
1933/11/17 21:53 +05:30
1933/12/17 08:22 +05:30
1934/01/15 19:07 +05:30
1934/02/14 06:13 +05:30
1934/03/15 17:38 +05:30
1934/04/14 05:26 +05:30
1934/05/13 18:00 +05:30
1934/06/12 07:41 +05:30
1934/07/11 22:35 +05:30
1934/08/10 14:15 +05:30
1934/09/09 05:50 +05:30
1934/10/08 20:34 +05:30
1934/11/07 10:13 +05:30
1934/12/06 22:54 +05:30
1935/01/05 10:50 +05:30
1935/02/03 21:57 +05:30
1935/03/05 08:10 +05:30
1935/04/03 17:40 +05:30
1935/05/03 03:06 +05:30
1935/06/01 13:21 +05:30
1935/07/01 01:14 +05:30
1935/07/30 15:02 +05:30
1935/08/29 06:30 +05:30
1935/09/27 22:59 +05:30
1935/10/27 15:45 +05:30
1935/11/26 08:05 +05:30
1935/12/25 23:19 +05:30
1936/01/24 12:47 +05:30
1936/02/23 00:12 +05:30
1936/03/23 09:43 +05:30
1936/04/21 18:02 +05:30
1936/05/21 02:04 +05:30
1936/06/19 10:44 +05:30
1936/07/18 20:48 +05:30
1936/08/17 08:50 +05:30
1936/09/15 23:11 +05:30
1936/10/15 15:50 +05:30
1936/11/14 10:11 +05:30
1936/12/14 04:54 +05:30
1937/01/12 22:16 +05:30
1937/02/11 13:04 +05:30
1937/03/13 01:01 +05:30
1937/04/11 10:39 +05:30
1937/05/10 18:47 +05:30
1937/06/09 02:12 +05:30
1937/07/08 09:42 +05:30
1937/08/06 18:06 +05:30
1937/09/05 04:23 +05:30
1937/10/04 17:27 +05:30
1937/11/03 09:45 +05:30
1937/12/03 04:40 +05:30
1938/01/02 00:28 +05:30
1938/01/31 19:04 +05:30
1938/03/02 11:09 +05:30
1938/04/01 00:21 +05:30
1938/04/30 10:57 +05:30
1938/05/29 19:29 +05:30
1938/06/28 02:39 +05:30
1938/07/27 09:23 +05:30
1938/08/25 16:47 +05:30
1938/09/24 02:03 +05:30
1938/10/23 14:12 +05:30
1938/11/22 05:34 +05:30
1938/12/21 23:36 +05:30
1939/01/20 18:56 +05:30
1939/02/19 13:58 +05:30
1939/03/21 07:19 +05:30
1939/04/19 22:04 +05:30
1939/05/19 09:54 +05:30
1939/06/17 19:06 +05:30
1939/07/17 02:32 +05:30
1939/08/15 09:23 +05:30
1939/09/13 16:52 +05:30
1939/10/13 02:00 +05:30
1939/11/11 13:24 +05:30
1939/12/11 03:15 +05:30
1940/01/09 19:22 +05:30
1940/02/08 13:14 +05:30
1940/03/09 07:52 +05:30
1940/04/08 01:48 +05:30
1940/05/07 17:36 +05:30
1940/06/06 06:34 +05:30
1940/07/05 16:57 +05:30
1940/08/04 01:39 +05:30
1940/09/02 09:45 +05:30
1940/10/01 18:11 +05:30
1940/10/31 03:32 +05:30
1940/11/29 14:11 +05:30
1940/12/29 02:25 +05:30
1941/01/27 16:32 +05:30
1941/02/26 08:31 +05:30
1941/03/28 01:43 +05:30
1941/04/26 18:53 +05:30
1941/05/26 10:48 +05:30
1941/06/25 00:52 +05:30
1941/07/24 13:08 +05:30
1941/08/23 00:03 +05:30
1941/09/21 10:08 +05:30
1941/10/20 19:49 +05:30
1941/11/19 05:33 +05:30
1941/12/18 15:48 +05:30
1942/01/17 03:01 +05:30
1942/02/15 15:32 +05:30
1942/03/17 05:19 +05:30
1942/04/15 20:03 +05:30
1942/05/15 11:15 +05:30
1942/06/14 02:31 +05:30
1942/07/13 17:33 +05:30
1942/08/12 07:57 +05:30
1942/09/10 21:22 +05:30
1942/10/10 09:36 +05:30
1942/11/08 20:48 +05:30
1942/12/08 07:29 +05:30
1943/01/06 18:07 +05:30
1943/02/05 04:58 +05:30
1943/03/06 16:03 +05:30
1943/04/05 03:22 +05:30
1943/05/04 15:13 +05:30
1943/06/03 04:03 +05:30
1943/07/02 18:13 +05:30
1943/08/01 09:36 +05:30
1943/08/31 01:29 +05:30
1943/09/29 16:59 +05:30
1943/10/29 07:29 +05:30
1943/11/27 20:52 +05:30
1943/12/27 09:20 +05:30
1944/01/25 20:54 +05:30
1944/02/24 07:28 +05:30
1944/03/24 17:06 +05:30
1944/04/23 02:13 +05:30
1944/05/22 11:42 +05:30
1944/06/20 22:29 +05:30
1944/07/20 11:12 +05:30
1944/08/19 01:54 +05:30
1944/09/17 18:07 +05:30
1944/10/17 11:04 +05:30
1944/11/16 03:59 +05:30
1944/12/15 20:04 +05:30
1945/01/14 10:36 +05:30
1945/02/12 23:03 +05:30
1945/03/14 09:20 +05:30
1945/04/12 17:59 +05:30
1945/05/12 01:51 +05:30
1945/06/10 09:55 +05:30
1945/07/09 19:05 +05:30
1945/08/08 06:01 +05:30
1945/09/06 19:13 +05:30
1945/10/06 10:52 +05:30
1945/11/05 04:40 +05:30
1945/12/04 23:36 +05:30
1946/01/03 17:59 +05:30
1946/02/02 10:13 +05:30
1946/03/03 23:31 +05:30
1946/04/02 10:07 +05:30
1946/05/01 18:45 +05:30
1946/05/31 02:19 +05:30
1946/06/29 09:35 +05:30
1946/07/28 17:23 +05:30
1946/08/27 02:37 +05:30
1946/09/25 14:15 +05:30
1946/10/25 05:01 +05:30
1946/11/23 22:53 +05:30
1946/12/23 18:36 +05:30
1947/01/22 14:04 +05:30
1947/02/21 07:30 +05:30
1947/03/22 22:04 +05:30
1947/04/21 09:49 +05:30
1947/05/20 19:13 +05:30
1947/06/19 02:56 +05:30
1947/07/18 09:45 +05:30
